date;année;île;site;île x site;identificateur;n° quadrat;genre;recouvrement %
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;1;Acropora;8.64
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;2;Acropora;4.94
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;3;Acropora;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;4;Acropora;7.41
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;5;Acropora;4.94
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;6;Acropora;6.17
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;7;Acropora;4.94
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;8;Acropora;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;9;Acropora;4.94
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;10;Acropora;11.11
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;11;Acropora;6.17
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;12;Acropora;3.7
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;13;Acropora;7.41
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;14;Acropora;6.17
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;15;Acropora;3.7
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;16;Acropora;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;17;Acropora;2.47
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;18;Acropora;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;19;Acropora;2.47
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;20;Acropora;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;1;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;2;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;3;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;4;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;5;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;6;Fungia;1.23
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;7;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;8;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;9;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;10;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;11;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;12;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;13;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;14;Fungia;0
05/08/1997;1997;aratika;aratika;Aratika;Pauline Bosserelle;15;Fungia;0
