Species;Min Depth;Max Depth;Min 20% limit;Max 20% limit;Min 60% limit;Max 60% limit;DRRH Criteria A;DRRH Criteria B;DRRH Criteria C;DRRH Criteria D
Acropora 1;2;9.2;0.5;8.5;0.5;6;FAIL; FAIL; FAIL; FAIL
Acropora 3;18;44.6;23;45;27;45;FAIL; FAIL; FAIL; FAIL
Acropora 5;8.2;42.8;11;35;13.5;24;PASS; FAIL; FAIL; FAIL
Acropora batunai;9.8;38.7;12;35.5;18;29.5;PASS; FAIL; FAIL; FAIL
Acropora caroliniana;11.5;43.8;16.5;41.5;22.5;35.5;FAIL; FAIL; FAIL; FAIL
Acropora cerealis;3.9;18.6;0.5;18.5;5;14.5;FAIL; FAIL; FAIL; FAIL
Acropora desalwii;7.7;43.2;8;45;9;26;PASS;PASS;PASS; FAIL
Acropora divaricata;2.2;18.3;0.5;15;4;11.5;FAIL; FAIL; FAIL; FAIL
Acropora echinata;4.5;34.1;10.5;32.5;16;27.5;PASS; FAIL; FAIL; FAIL
Acropora florida;1.8;23;0.5;23;0.5;17;FAIL; FAIL; FAIL; FAIL
Acropora granulosa;4.9;44.3;12;45;20;37;PASS; FAIL; FAIL; FAIL
Acropora intermedia;1.2;17;0.5;10;0.5;3.5;FAIL; FAIL; FAIL; FAIL
Acropora jacquelineae;6.8;42;6.5;45;9.5;45;PASS;PASS;PASS;PASS
Acropora kimbeensis;2.8;33.8;5;20.5;9;16.5;PASS; FAIL; FAIL; FAIL
Acropora loripes;3.8;38.7;4;23;5;12;PASS; FAIL; FAIL; FAIL
Acropora pichoni;28.3;43.6;29;44.5;31;38.5;FAIL; FAIL; FAIL; FAIL
Acropora plumosa;2.3;28.8;0.5;29;13.5;26.5;FAIL; FAIL; FAIL; FAIL
Acropora sarmentosa;2.3;21.7;0.5;20;0.5;15;FAIL; FAIL; FAIL; FAIL
Acropora selago;3.8;28.6;2;24;7.5;18.5;FAIL; FAIL; FAIL; FAIL
Acropora subglabra;7.2;41.2;8;30;10.5;19.5;PASS; FAIL; FAIL; FAIL
Acropora valida;1.5;18.9;0.5;9.5;0.5;3;FAIL; FAIL; FAIL; FAIL
Acropora walindii;18.2;41.5;20;40;24.5;35;FAIL; FAIL; FAIL; FAIL
Anacropora forbesi;3.6;39.6;0.5;31.5;6;23.5;PASS;PASS;PASS; FAIL
Anacropora puertogalerae;3.8;34.2;0.5;34.5;0.5;32.5;PASS;PASS;PASS;PASS
Astreopora myriophthalma;6.9;38.5;6;30.5;6.5;15.5;PASS;PASS;PASS; FAIL
Ctenactis echinata;2.9;34.1;0.5;24;4;14.5;PASS; FAIL; FAIL; FAIL
Cyphastrea chalcidicum;4.9;43.8;0.5;45;24.5;45;PASS;PASS; FAIL;PASS
Cyphastrea microphthalma;8.6;44.3;15;45;22;45;PASS; FAIL; FAIL; FAIL
Cyphastrea serailia;8.9;44.2;28;45;39.5;45;PASS; FAIL; FAIL; FAIL
