Species ;Min. depth ;Max. depth 
Acanthastrea brevis ;1 ;20 
Acanthastrea echinata ;0 ;50 
Acanthastrea hemprichi ;2 ;20 
Acanthastrea ishigakiensis ;1 ;15 
Acanthastrea regularis ;2 ;20 
Acanthastrea rotundoflora ;2 ;30 
Acanthastrea subechinata ;0 ;35 
Acropora abrolhosensis ;2 ;18 
Acropora abrotanoides ;0 ;15 
Acropora aculeus ;5 ;35 
Acropora acuminata ;5 ;20 
Acropora akajimensis ;0.5 ;20 
Acropora anthocercis ;5 ;10 
Acropora appressa ;1 ;15 
Acropora arabensis ;0.5 ;12 
Acropora aspera ;0 ;5 
Acropora austera ;0.5 ;20 
Acropora awi ;0 ;5 
Acropora azurea ;1 ;10 
Acropora batunai ;1 ;45 
Acropora bifurcata ;1 ;25 
Acropora bushyensis ;0 ;5 
Acropora carduus ;3 ;50 
Acropora caroliniana ;10 ;25 
Acropora cerealis ;3 ;20 
Acropora cervicornis ;0.5 ;60 
Acropora chesterfieldensis ;3 ;20 
Acropora convexa ;1 ;20 
Acropora cophodactyla ;0 ;12 
Acropora cylindrica ;0 ;12 
Acropora cytherea ;3 ;25 
Acropora dendrum ;5 ;20 
Acropora derawanensis ;10 ;25 
Acropora desalwii ;10 ;30 
Acropora digitifera ;0 ;12 
Acropora divaricata ;5 ;25 
Acropora donei ;5 ;20 
Acropora downingi ;1 ;10 
Acropora echinata ;8 ;25 
Acropora efflorescens ;10 ;40 
Acropora elegans ;30 ;60 
Acropora elegantula ;2 ;20 
Acropora eurystoma ;5 ;26 
Acropora exquisita ;2 ;20 
Acropora fastigata ;2 ;20 
Acropora filiformis ;8 ;20 
Acropora florida ;5 ;30 
Acropora forskali ;2 ;25 
Acropora gemmifera ;1 ;15 
Acropora glauca ;5 ;20 
Acropora globiceps ;0 ;8 
Acropora grandis ;5 ;25 
Acropora haimei ;0.5 ;15 
Acropora halmaherae ;10 ;20 
Acropora hemprichii ;3 ;15 
Acropora hoeksemai ;8 ;20 
Acropora horrida ;5 ;20 
Acropora humilis ;0 ;11 
Acropora hyacinthus ;5 ;20 
Acropora indonesia ;10 ;20 
Acropora inermis ;0.5 ;25 
Acropora insignis ;0.5 ;30 
Acropora intermedia ;5 ;25 
Acropora irregularis ;1 ;15 
Acropora jacquelineae ;10 ;35 
Acropora japonica ;1 ;8 
Acropora kimbeensis ;3 ;15 
Acropora kirstyae ;10 ;25 
Acropora kosurini ;8 ;20 
Acropora lamarcki ;2 ;15 
Acropora latistella ;3 ;20 
Acropora lianae ;0.5 ;20 
Acropora listeri ;3 ;15 
Acropora loisetteae ;1 ;30 
Acropora lokani ;8 ;25 
Acropora longicyathus ;5 ;20 
Acropora loripes ;5 ;25 
Acropora loveli ;1 ;10 
Acropora lutkeni ;3 ;12 
Acropora macrostoma ;0.5 ;12 
Acropora magnifica ;20 ;20 
Acropora maryae ;2 ;15 
Acropora massawensis ;3 ;15 
Acropora meridiana ;3 ;15 
Acropora microclados ;5 ;20 
Acropora microphthalma ;5 ;25 
Acropora millepora ;2 ;12 
Acropora minuta ;1 ;8 
Acropora mirabilis ;2 ;25 
Acropora monticulosa ;1 ;12 
Acropora multiacuta ;3 ;15 
Acropora muricata ;5 ;30 
Acropora nana ;1 ;10 
Acropora natalensis ;5 ;30 
Acropora navini ;5 ;20 
Acropora ocellata ;2 ;12 
Acropora orbicularis ;3 ;12 
Acropora palmata ;0.1 ;40 
Acropora palmerae ;0 ;12 
Acropora paniculata ;10 ;35 
