"","Archipelago","Island","Island_Site","Depth","Cattegory","Coral_genus","Cover"
"1","Society","Tahiti","1",6,"Scleractinian","Acanthastrea",0.0443333333333333
"2","Tuamotu","Tikehau","1",6,"Scleractinian","Acanthastrea",0.0443333333333333
"3","Tuamotu","Rangiroa","2",6,"Scleractinian","Acanthastrea",0.0443333333333333
"4","Tuamotu","Tikehau","2",6,"Scleractinian","Acanthastrea",0.0886666666666667
"5","Society","Bora","1",20,"Scleractinian","Acanthastrea",0.0443333333333333
"6","Gambier","Mangareva","1",20,"Scleractinian","Acanthastrea",0.0443333333333333
"7","Society","Moorea","1",20,"Scleractinian","Acanthastrea",0.133333333333333
"8","Tuamotu","Rangiroa","1",20,"Scleractinian","Acanthastrea",0.155333333333333
"9","Society","Tahiti","1",20,"Scleractinian","Acanthastrea",0.133
"10","Tuamotu","Tikehau","1",20,"Scleractinian","Acanthastrea",0.0665
"11","Society","Moorea","2",20,"Scleractinian","Acanthastrea",0.133
"12","Tuamotu","Rangiroa","2",20,"Scleractinian","Acanthastrea",0.0443333333333333
"13","Tuamotu","Raroia","2",20,"Scleractinian","Acanthastrea",0.089
"14","Society","Tahiti","2",20,"Scleractinian","Acanthastrea",1.956
"15","Tuamotu","Tikehau","2",20,"Scleractinian","Acanthastrea",0.221833333333333
"16","Society","Moorea","1",40,"Scleractinian","Acanthastrea",0.133333333333333
"17","Tuamotu","Rangiroa","1",40,"Scleractinian","Acanthastrea",0.0666666666666667
"18","Tuamotu","Tikehau","1",40,"Scleractinian","Acanthastrea",0.0443333333333333
"19","Society","Bora","2",40,"Scleractinian","Acanthastrea",1.022
"20","Gambier","Mangareva","2",40,"Scleractinian","Acanthastrea",0.089
"21","Society","Moorea","2",40,"Scleractinian","Acanthastrea",0.0886666666666667
"22","Tuamotu","Tikehau","2",40,"Scleractinian","Acanthastrea",0.0888333333333333
"23","Society","Bora","1",60,"Scleractinian","Acanthastrea",0.0443333333333333
"24","Tuamotu","Rangiroa","1",60,"Scleractinian","Acanthastrea",0.089
"25","Society","Tahiti","1",60,"Scleractinian","Acanthastrea",0.0886666666666667
"26","Society","Bora","2",60,"Scleractinian","Acanthastrea",0.355666666666667
"27","Society","Moorea","2",60,"Scleractinian","Acanthastrea",0.0886666666666667
"28","Society","Bora","1",6,"Scleractinian","Acropora",0.555833333333333
"29","Tuamotu","Makatea","1",6,"Scleractinian","Acropora",0.578
"30","Gambier","Mangareva","1",6,"Scleractinian","Acropora",0.799333333333333
"31","Society","Moorea","1",6,"Scleractinian","Acropora",1.15516666666667
"32","Tuamotu","Rangiroa","1",6,"Scleractinian","Acropora",0.577666666666667
"33","Tuamotu","Raroia","1",6,"Scleractinian","Acropora",0.310666666666667
"34","Society","Tahiti","1",6,"Scleractinian","Acropora",0.488833333333333
"35","Tuamotu","Tikehau","1",6,"Scleractinian","Acropora",1.59966666666667
"36","Society","Bora","2",6,"Scleractinian","Acropora",0.667
"37","Tuamotu","Makatea","2",6,"Scleractinian","Acropora",0.711
"38","Gambier","Mangareva","2",6,"Scleractinian","Acropora",9.933
"39","Society","Moorea","2",6,"Scleractinian","Acropora",2.26666666666667
"40","Tuamotu","Rangiroa","2",6,"Scleractinian","Acropora",0.177666666666667
"41","Tuamotu","Raroia","2",6,"Scleractinian","Acropora",0.0443333333333333
"42","Society","Tahiti","2",6,"Scleractinian","Acropora",0.377833333333333
"43","Tuamotu","Tikehau","2",6,"Scleractinian","Acropora",1.19933333333333
